# Distribution of numbers of clusters from DendrimerClusterAnalyzer
# numOfClusters    frequency
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0.00319489
31 0.00319489
32 0.00638978
33 0.00319489
34 0.0255591
35 0.0255591
36 0.0255591
37 0.0607029
38 0.0798722
39 0.0798722
40 0.0958466
41 0.0734824
42 0.0958466
43 0.140575
44 0.0638978
45 0.057508
46 0.0543131
47 0.0447284
48 0.0319489
49 0.0191693
50 0.00638978
51 0.00319489
