# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
100000 12.3104 40.8946 56.1596 109.365 28272.4 3491.4 0.124276
200000 15.9058 33.1198 73.4716 122.497 38704.7 4128.79 0.15225
300000 20.6149 36.1124 94.1402 150.867 70082.8 6084.76 0.173191
400000 20.5539 31.2287 34.7533 86.5359 22307.2 2441.49 0.15339
500000 21.2382 33.9368 83.162 138.337 59939.5 5309.22 0.156979
600000 29.1202 44.888 60.5996 134.608 79212.5 5792.01 0.134738
700000 18.0693 27.5552 38.7291 84.3536 19283.3 2264.9 0.128459
800000 21.928 38.1581 91.5272 151.613 76583.5 6336.24 0.136687
900000 14.5962 30.9715 95.808 141.376 43311.6 4817.82 0.156068
1000000 12.7989 46.2523 97.2693 156.32 57581.4 6335.84 0.165623
1100000 13.1624 42.5575 87.7276 143.448 49141.4 5448.33 0.16997
1200000 14.5521 39.4145 97.0666 151.033 55673.7 5811.91 0.177024
1300000 19.2908 35.7754 57.5803 112.646 39738.1 3860.86 0.171961
1400000 18.501 42.3694 93.776 154.646 73508.9 6492.06 0.173273
1500000 18.2752 54.9921 76.2188 149.486 76599.4 6589.35 0.168504
1600000 17.3275 41.1065 90.7318 149.166 64625.7 6014.09 0.170067
1700000 11.9128 44.6565 67.1434 123.713 35719.3 4330.24 0.169133
1800000 23.4657 45.5336 85.7134 154.713 91582.8 6982.64 0.165947
1900000 20.4721 41.1459 61.7798 123.398 52039.8 4649.09 0.162364
2000000 26.6377 32.1216 50.0418 108.801 42818.1 3796.07 0.158272
2100000 16.1848 50.7213 71.7569 138.663 58906.2 5621.89 0.156475
2200000 19.5937 33.5525 56.1743 109.32 36929.9 3642.86 0.154307
2300000 24.7811 40.0327 62.0867 126.901 61593.4 5016.13 0.150796
2400000 24.7229 38.8867 66.6611 130.271 64087.5 5201.68 0.147982
2500000 13.392 45.8169 81.5148 140.724 50016 5439.99 0.149227
2600000 18.5843 60.421 74.4035 153.409 83546.5 7001.16 0.147128
2700000 14.006 33.1271 69.6515 116.785 32316.7 3746.86 0.147942
2800000 28.4062 29.5829 59.011 117 49589 4262.32 0.145672
2900000 18.3751 36.5989 49.4846 104.459 33278.7 3392.87 0.143978
3000000 13.4363 49.4093 73.9555 136.801 49097.4 5311.65 0.144141
3100000 28.3083 59.2892 77.6898 165.287 130393 8483.81 0.14039
3200000 30.4506 31.6105 82.3036 144.365 79222 6070.41 0.139873
3300000 17.8983 41.7174 102.594 162.21 76604.2 6862.9 0.143284
3400000 23.3551 38.328 64.6484 126.331 57870.2 4882.87 0.141697
3500000 25.6168 49.1843 73.6409 148.442 92783.5 6768.36 0.139511
3600000 26.1751 44.5284 67.3131 138.017 78455.7 5924.8 0.137402
3700000 19.3855 53.0568 59.0052 131.448 60688.8 5303.01 0.13591
3800000 16.1365 64.1321 71.7314 152 74232.3 6792.64 0.135315
3900000 16.0012 25.904 60.465 102.37 25062.4 2948.29 0.135622
4000000 15.1793 50.2972 72.0429 137.519 55003 5480.59 0.135491
4100000 19.4959 62.455 83.5408 165.492 101721 8063.86 0.134808
4200000 13.2802 24.7178 95.9081 133.906 31482.4 3972.57 0.139471
4300000 24.8282 37.2902 81.5778 143.696 75528.5 5993.32 0.139204
4400000 23.8325 31.9029 46.3806 102.116 35264.4 3345.37 0.137883
4500000 15.3426 51.81 68.8584 136.011 54735.7 5418.93 0.137507
4600000 20.626 32.6758 116.444 169.746 78479.7 6880.64 0.142463
4700000 17.1096 24.6268 86.2471 127.983 36340.5 4020.99 0.144753
4800000 24.47 27.9502 103.315 155.735 70661.1 6099.71 0.147499
4900000 29.4484 50.8373 64.09 144.376 95947.6 6642.59 0.14513
5000000 24.9608 32.0147 76.2179 133.193 60906.6 5141.66 0.144851
5100000 26.7046 32.1379 70.8701 129.713 60823 5028.41 0.144113
5200000 15.4904 23.538 108.668 147.696 39621.6 4605.74 0.149131
5300000 14.7532 32.6889 92.8507 140.293 44778.8 4887.3 0.151243
5400000 21.5372 49.2279 71.7322 142.497 76052.5 6136.36 0.150077
5500000 10.5994 30.4133 106.28 147.293 34260.6 4681.19 0.154349
5600000 23.38 48.8168 53.9192 126.116 61540 5034.13 0.152768
5700000 26.4062 34.8445 57.2797 118.53 52703.6 4428.53 0.151462
5800000 22.1869 28.0926 84.9415 135.221 52943 4894.1 0.152235
5900000 8.19317 53.3881 80.59 142.171 35251.5 5400.25 0.153087
6000000 12.8503 50.8417 87.435 151.127 57124.1 6222.25 0.153691
6100000 27.7476 41.0297 86.4382 155.215 98407.8 7083.46 0.152938
6200000 30.0824 37.8843 54.1769 122.144 61742.8 4821.88 0.151361
6300000 24.2273 48.6151 72.5553 145.398 85456.7 6462.92 0.150135
6400000 21.7086 44.0991 82.8553 148.663 79319.8 6409.84 0.149763
6500000 18.1247 45.9493 86.6056 150.68 72126.5 6381.98 0.149892
6600000 28.6437 56.3793 77.1482 162.171 124588 8174.29 0.148162
6700000 14.417 28.6719 46.331 89.4199 19151.5 2409.71 0.14783
6800000 14.0087 33.3958 44.6618 92.0663 20894.2 2585 0.14741
6900000 16.1941 42.1497 75.4021 133.746 51467.6 5081.82 0.147415
7000000 19.3785 23.1988 55.3177 97.895 24868.5 2804.84 0.147227
7100000 10.4216 51.8357 92.0411 154.298 49721.6 6270.44 0.148357
7200000 17.5548 39.7472 60.709 118.011 42360 4176.5 0.147855
7300000 27.1476 35.1191 50.2139 112.481 47874 4080.06 0.146771
7400000 22.0278 39.9721 90.0774 152.077 79313.1 6465.29 0.147018
7500000 17.4691 31.4738 53.814 102.757 29588 3183.63 0.146623
7600000 16.7134 32.2552 102.341 151.309 55171.3 5550.58 0.148681
7700000 18.0786 24.6411 77.9764 120.696 34736.7 3776.61 0.149437
7800000 16.9932 47.2334 49.5026 113.729 39733.2 3982.04 0.148777
7900000 31.8357 43.1052 68.1474 143.088 93517.8 6479.32 0.147391
8000000 14.1257 38.5762 57.4251 110.127 31291.9 3571.33 0.147136
8100000 15.9592 24.0544 70.7986 110.812 27178.8 3216.79 0.147693
8200000 19.6265 26.9596 84.1929 130.779 44548.4 4451.34 0.148513
8300000 26.3579 39.9414 56.7172 123.017 59710.4 4813.09 0.147482
8400000 21.1914 29.5308 58.0733 108.796 36342.3 3571.41 0.147072
8500000 19.5548 28.7027 99.7315 147.989 55976.7 5374.06 0.148731
8600000 23.3781 34.5893 65.4359 123.403 52913.6 4601.78 0.14819
8700000 12.0799 42.4017 66.2643 120.746 33941.1 4122.39 0.148223
8800000 12.203 32.306 71.0656 115.575 28016.2 3557.29 0.148669
8900000 23.454 34.8803 81.8978 140.232 66999.1 5595.53 0.148641
9000000 27.5297 33.906 57.2493 118.685 53437.9 4450.58 0.1478
9100000 24.4337 36.5266 81.5536 142.514 72784.8 5864 0.147627
9200000 21.8313 23.8815 28.8231 74.5359 15027.3 1838.95 0.147152
9300000 27.8431 46.7134 102.471 177.028 133279 8940.54 0.147096
9400000 25.2703 46.5583 59.1327 130.961 69572.2 5423.96 0.146124
9500000 22.7114 78.8604 88.4448 190.017 158407 10774.5 0.14526
9600000 20.4896 49.0344 76.9511 146.475 77312.6 6354.65 0.144845
9700000 26.6432 43.0215 66.1695 135.834 75845.6 5755.91 0.144003
9800000 19.7059 57.1303 61.3075 138.144 69020.1 5836.43 0.143346
9900000 27.5814 59.0688 80.626 167.276 131356 8615.46 0.142313
10000000 24.6433 45.434 78.2983 148.376 87666.4 6606.59 0.141802
10100000 26.8434 35.4862 81.6814 144.011 77807.4 6043.74 0.141623
10200000 24.9636 48.646 70.6059 144.215 85742.2 6411.65 0.140887
10300000 25.1194 46.261 68.1113 139.492 79148.7 6023.86 0.140173
10400000 22.18 53.6215 63.8505 139.652 75938.8 6029.28 0.139486
10500000 17.4599 31.2785 88.4107 137.149 48282.9 4855.12 0.140323
10600000 16.0025 38.0848 75.7856 129.873 46187.7 4708.49 0.140514
10700000 24.2242 63.9847 67.9734 156.182 105357 7545.84 0.139669
