# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
61500000 259.753 330.89 517.805 1108.45 4.45052e+07 391788 0.043376
61600000 259.694 339.932 490.598 1090.22 4.33092e+07 382454 0.039103
61700000 261.688 311.986 463.168 1036.84 3.78145e+07 347351 0.0365123
61800000 265.617 315.727 475.418 1056.76 3.98696e+07 360243 0.0354794
61900000 268.564 345.251 475.36 1089.17 4.40762e+07 384505 0.0338743
62000000 283.199 335.144 463.027 1081.37 4.3947e+07 381222 0.0318762
62100000 279.918 341.098 408.081 1029.1 3.89634e+07 348905 0.0292053
62200000 304.199 352.229 396.582 1053.01 4.24928e+07 367475 0.0263606
62300000 304.847 363.71 378.107 1046.66 4.19229e+07 363662 0.0239791
62400000 299.96 345.355 392.218 1037.53 4.06308e+07 356696 0.0222604
62500000 304.562 361.719 388.194 1054.47 4.27656e+07 368811 0.0207084
62600000 282.852 353.395 394.942 1031.19 3.94779e+07 351240 0.0197895
62700000 282.801 404.539 423.14 1110.48 4.8409e+07 405245 0.0193155
62800000 255.865 387.426 395.058 1038.35 3.91616e+07 353266 0.0191601
62900000 260.948 372.765 390.318 1024.03 3.7967e+07 344621 0.0188443
63000000 273.11 360.124 437.747 1070.98 4.30539e+07 375549 0.018774
63100000 297.417 334.891 460.835 1093.14 4.59003e+07 390992 0.0187506
63200000 281.947 356.204 433.136 1071.29 4.35002e+07 376837 0.0185355
63300000 276.694 357.437 424.573 1058.7 4.19906e+07 368136 0.0183337
63400000 303.67 328.284 424.545 1056.5 4.23228e+07 367983 0.0179693
63500000 267.354 351.722 433.29 1052.37 4.07441e+07 362274 0.0180011
63600000 257.976 391.508 457.478 1106.96 4.62051e+07 398124 0.0183599
63700000 284.235 407.864 425.309 1117.41 4.93058e+07 410285 0.0181619
63800000 321.46 400.657 415.762 1137.88 5.35481e+07 429024 0.0175854
63900000 309.252 364.414 413.171 1086.84 4.65627e+07 391036 0.0171431
64000000 308.416 358.462 443.951 1110.83 4.90812e+07 406616 0.0169065
64100000 308.205 365.833 420.997 1095.03 4.74681e+07 396520 0.016561
64200000 275.018 357.177 414.296 1046.49 4.06964e+07 360146 0.0164543
64300000 298.085 319.332 439.936 1057.35 4.18767e+07 366812 0.0164292
64400000 310.665 336.731 438.171 1085.57 4.58373e+07 388281 0.0162624
64500000 282.429 365.012 432.904 1080.34 4.46281e+07 383370 0.0162078
64600000 296.238 401.856 420.735 1118.83 5.00863e+07 412757 0.0160238
64700000 294.665 381.589 395.337 1071.59 4.44521e+07 379789 0.0157749
64800000 304.301 387.4 399.346 1091.05 4.70774e+07 394114 0.015501
64900000 272.232 385.292 429.37 1086.89 4.50362e+07 387210 0.0155356
65000000 278.258 374.178 430.222 1082.66 4.47938e+07 384810 0.0155238
65100000 299.481 399.967 447.473 1146.92 5.35994e+07 432767 0.015447
65200000 283.065 341.76 472.306 1097.13 4.5691e+07 391849 0.0156638
65300000 272.16 392.644 457.339 1122.14 4.88721e+07 410902 0.0158132
65400000 279.858 372.583 424.631 1077.07 4.42763e+07 381316 0.0157656
65500000 275.848 359.94 452.11 1087.9 4.48895e+07 386735 0.0158633
65600000 247.226 366.824 436.196 1050.25 3.9558e+07 358535 0.0160666
65700000 305.266 397.289 437.358 1139.91 5.30422e+07 428546 0.0159245
65800000 291.515 372.827 424.49 1088.83 4.61356e+07 390691 0.0158192
65900000 305.355 353.802 410.732 1069.89 4.43735e+07 378772 0.015633
66000000 284.994 344.596 423.411 1053 4.15823e+07 364783 0.0155793
66100000 264.307 333.601 410.65 1008.56 3.62083e+07 333704 0.0155835
66200000 261.107 351.295 396.359 1008.76 3.63562e+07 334457 0.0155542
66300000 291.97 356.119 390.397 1038.49 4.05919e+07 356988 0.0153902
66400000 278.067 356.803 444.119 1078.99 4.40633e+07 381173 0.0154384
66500000 283.524 355.693 420.23 1059.45 4.23791e+07 369465 0.0153824
66600000 294.685 351.682 422.302 1068.67 4.37654e+07 376598 0.0152941
66700000 259.832 355.756 446.009 1061.6 4.12276e+07 366995 0.0154373
66800000 254.662 354.419 457.581 1066.66 4.12998e+07 368961 0.0156511
66900000 267.232 374.43 426.504 1068.17 4.26759e+07 373731 0.0156814
67000000 288.24 367.889 447.005 1103.13 4.74006e+07 399333 0.0156787
67100000 285.554 370.618 418.614 1074.79 4.43025e+07 380514 0.0156105
67200000 292.229 361.791 446.338 1100.36 4.71895e+07 397640 0.0155951
67300000 327.206 362.969 412.545 1102.72 4.89961e+07 403494 0.015398
67400000 306.915 379.765 392.681 1079.36 4.57691e+07 386202 0.0152321
67500000 296.296 363.886 398.48 1058.66 4.29633e+07 370887 0.015105
67600000 298.327 372.397 392.816 1063.54 4.36402e+07 374567 0.0149701
67700000 291.105 340.339 424.935 1056.38 4.21002e+07 367397 0.0149294
67800000 296.395 388.114 408.497 1093.01 4.69915e+07 394655 0.0148329
67900000 292.449 344.788 429.643 1066.88 4.33222e+07 374618 0.0147996
68000000 269.907 328.234 430.933 1029.07 3.81775e+07 346351 0.0148556
68100000 286.267 361.508 431.713 1079.49 4.4677e+07 383141 0.014837
68200000 281.274 368.423 422.642 1072.34 4.37975e+07 378217 0.0148141
