# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
61600000 164.037 259.812 466.278 890.127 1.98722e+07 240250 0.090336
61700000 167.541 271.69 458.087 897.318 2.08517e+07 246725 0.0854954
61800000 166.939 271.162 454.966 893.067 2.05951e+07 244588 0.0836645
61900000 174.526 291.713 422.868 889.106 2.15288e+07 248069 0.0774385
62000000 183.197 282.468 397.715 863.379 2.05806e+07 236949 0.0715501
62100000 205.045 278.885 367.33 851.26 2.10054e+07 234946 0.0646676
62200000 198.859 297.52 370.088 866.466 2.1896e+07 242868 0.0597863
62300000 179.978 276.358 369.375 825.711 1.83721e+07 218298 0.0575104
62400000 175.094 278.688 365.146 818.927 1.78178e+07 214493 0.0558229
62500000 177.345 286.021 355.685 819.051 1.80419e+07 215537 0.0540443
62600000 190.391 318.302 366.441 875.135 2.22071e+07 247009 0.0520244
62700000 193.488 299.833 383.83 877.15 2.22675e+07 247365 0.0506045
62800000 187.277 301.33 373.632 862.239 2.10848e+07 238991 0.049457
62900000 179.285 317.8 371.635 868.72 2.11745e+07 241711 0.0487132
63000000 166.294 327.415 370.369 864.077 2.01655e+07 237301 0.0485665
63100000 171.349 300.515 355.861 827.725 1.83243e+07 219411 0.0480302
63200000 176.363 288.856 393.549 858.768 2.00488e+07 234030 0.0480279
63300000 196.904 304.703 352.771 854.379 2.11654e+07 236950 0.0468346
63400000 209.689 307.767 336.457 853.913 2.17134e+07 238637 0.0453518
63500000 230.427 306.087 336.104 872.618 2.37057e+07 250855 0.0436258
63600000 233.857 296.428 321.906 852.191 2.23151e+07 240024 0.0419874
63700000 227.862 266.135 317.129 811.126 1.92314e+07 217303 0.0406567
63800000 223.539 256.816 323.828 804.183 1.85904e+07 212961 0.039563
63900000 211.964 258.188 320.5 790.652 1.75399e+07 205410 0.0386588
64000000 206.474 246.713 332.575 785.762 1.69413e+07 201658 0.0380286
64100000 197.031 229.061 323.748 749.841 1.46115e+07 183079 0.0375814
64200000 193.569 251.33 315.673 760.571 1.53574e+07 189092 0.037034
64300000 187.557 259.809 324.866 772.232 1.58304e+07 194063 0.0366347
64400000 205.516 262.576 327.927 796.018 1.7696e+07 207463 0.0360513
64500000 231.335 263.111 352.504 846.95 2.14558e+07 235161 0.0353905
64600000 224.252 275.521 360.359 860.131 2.22651e+07 241883 0.0348436
64700000 232.735 264.69 351.858 849.283 2.16754e+07 236626 0.0342382
64800000 228.001 233.727 336.811 798.539 1.79487e+07 208805 0.0337842
64900000 212.538 244.945 366.726 824.209 1.90918e+07 219831 0.0336541
65000000 210.666 275.013 363.167 848.845 2.10403e+07 234318 0.0333844
65100000 195.315 293.942 340.47 829.727 1.95468e+07 223989 0.0331284
65200000 194.85 289.063 342.693 826.606 1.93018e+07 222157 0.0329048
65300000 191.019 275.044 350.501 816.564 1.84148e+07 215894 0.0327985
65400000 192.275 272.705 364.873 829.853 1.91318e+07 222093 0.0327908
65500000 206.46 275.673 351.899 834.033 2.00285e+07 226578 0.0325444
65600000 183.889 276.344 358.98 819.213 1.82421e+07 216031 0.0325852
65700000 189.769 255.465 356.468 801.702 1.72813e+07 207191 0.0325923
65800000 204.571 281.773 337.896 824.24 1.94772e+07 221976 0.0323036
65900000 202.391 280.296 320.262 802.949 1.81683e+07 211316 0.0319771
66000000 208.748 270.016 293.117 771.88 1.65216e+07 196699 0.0315516
66100000 217.234 259.036 289.886 766.156 1.63123e+07 194335 0.0310968
66200000 212.158 257.715 308.188 778.061 1.68506e+07 199486 0.0307313
66300000 228.451 242.041 303.886 774.377 1.68032e+07 198270 0.0303218
66400000 218.786 246.82 316.959 782.565 1.7116e+07 201579 0.0299992
66500000 214.012 242.252 320.363 776.628 1.66092e+07 198015 0.0297377
66600000 214.385 244.98 336.404 795.769 1.7668e+07 207052 0.0295452
66700000 234.598 245.962 335.166 815.726 1.93398e+07 218770 0.0292492
66800000 227.176 254.683 326.705 808.564 1.89025e+07 215284 0.0289409
66900000 227.283 240.945 346.856 815.084 1.89948e+07 217170 0.0287686
67000000 217.129 248.629 357.636 823.394 1.93069e+07 220557 0.0286837
67100000 205.91 229.013 320.93 755.853 1.51338e+07 186736 0.0285456
67200000 214.134 229.017 349.001 792.152 1.71151e+07 203700 0.0285068
67300000 228.532 247.196 361.131 836.859 2.04011e+07 228292 0.0283929
67400000 208.725 245.614 366.349 820.688 1.87812e+07 217712 0.0284244
67500000 211.288 227.424 366.552 805.264 1.76135e+07 208863 0.0285083
67600000 206.807 210.808 381.577 799.191 1.66354e+07 202949 0.0287889
67700000 207.237 219.087 371.946 798.27 1.68875e+07 203973 0.0289542
67800000 201.844 225.929 355.018 782.79 1.61896e+07 197469 0.0290152
67900000 187.011 234.71 365.312 787.033 1.60348e+07 197953 0.0291901
68000000 196.788 238.086 383.037 817.911 1.79462e+07 213425 0.0293983
68100000 192.425 234.166 394.877 821.467 1.77929e+07 213510 0.029721
68200000 186.327 247.403 374.22 807.95 1.72507e+07 208408 0.0299007
68300000 183.098 239.36 393.418 815.877 1.72421e+07 210029 0.0302407
68400000 193.87 234.69 406.258 834.818 1.84844e+07 219605 0.0306049
68500000 194.266 236.851 415.291 846.408 1.91084e+07 225051 0.031012
68600000 173.319 228.794 441.639 843.752 1.75129e+07 217243 0.0318029
68700000 188.82 234.063 423.895 846.777 1.87343e+07 223453 0.0322909
68800000 210.645 220.516 438.78 869.941 2.03816e+07 235635 0.0328034
68900000 215.938 228.389 430.991 875.318 2.12555e+07 240818 0.0331721
69000000 177.877 246.212 417.57 841.659 1.82877e+07 220882 0.0336071
69100000 190.053 246.191 371.94 808.184 1.74028e+07 209046 0.0336858
69200000 198.337 254.668 395.732 848.738 1.99885e+07 229779 0.0338144
69300000 192.468 251.595 372.967 817.03 1.80605e+07 214045 0.0338676
69400000 214.316 261.561 372.582 848.459 2.08857e+07 233360 0.0337827
69500000 206.867 249.678 368.295 824.84 1.90225e+07 219794 0.033746
69600000 221.944 269.399 343.468 834.811 2.05365e+07 228552 0.0335241
69700000 249.863 277.681 376.013 903.556 2.60886e+07 267745 0.0332711
69800000 251.015 270.913 371.467 893.395 2.52609e+07 261882 0.0330241
69900000 235.264 248.72 371.006 854.99 2.17094e+07 238076 0.0328964
70000000 244.452 254.383 346.906 845.741 2.15721e+07 235233 0.0326572
70100000 227.107 283.167 344.225 854.499 2.21368e+07 239958 0.0324278
70200000 214.254 266.527 352.624 833.406 2.01365e+07 226640 0.032296
70300000 209.349 259.173 368.888 837.41 2.0015e+07 227090 0.032252
70400000 204.32 271.991 411.54 887.851 2.28706e+07 251594 0.0323838
70500000 202.851 266.875 421.628 891.353 2.28251e+07 252185 0.0325808
70600000 200.635 251.092 415.859 867.586 2.09501e+07 238233 0.0327956
70700000 189.821 255.689 427.718 873.227 2.07593e+07 239087 0.0331142
